category,role,language,question_or_action,expected_behavior,actual_result,notes
Normal,any,en,What is the maximum daily cash withdrawal at a branch teller without prior notice?,"Answers AED 40,000 per customer, cites POL-CASH-003.",,
Normal,any,en,How many days of annual leave can be carried over to the next year?,"Answers 5 days, cites POL-LEAVE-001.",,
Normal,any,en,Up to what amount can a branch teller waive account maintenance fees without further approval?,"Answers AED 100, cites POL-APPR-001.",,
Normal,any,en,What is the daily meal allowance for international business travel?,"Answers AED 400, cites POL-EXP-001.",,
Normal,any,en,Am I allowed to paste customer data into a public AI chatbot?,"Answers no, cites POL-DATA-004.",,
Normal,any,en,What is the value threshold above which a gift from a vendor must be declared?,"Answers AED 500, cites POL-HR-001.",,
Normal,any,en,What documents does a corporate customer need to provide to open an account?,"Answers trade license, certificate of incorporation, shareholder registry; cites POL-KYC-002.",,
Normal,any,en,How often must system passwords be changed?,"Answers every 90 days, cites POL-IT-001.",,
Normal,any,en,When is sole-source procurement without competitive bidding justified?,"Answers unique technical requirements / incumbent continuity / emergency, cites POL-PROC-003.",,"Replaces the old POL-PROC-002 question - that document is currently excluded from the index, see Edge cases."
Contradiction,any,en,What is the maximum daily cash deposit limit at the Dubai Main Branch?,"Explains both policies, states Policy A (POL-CASH-002, AED 35,000) governs.",,
Contradiction,any,en,"Can I deposit AED 45,000 in cash in one day at the Dubai branch?","Explains both policies, states Policy A governs (lower limit applies).",,
Contradiction,any,en,"What's the group-wide cash deposit limit, and does it apply everywhere?","Should mention the Dubai exception, not claim the group limit applies everywhere.",,"KNOWN BUG as of last test: answered 'yes, applies everywhere' - retrieval didn't pull POL-CASH-002 close enough to trigger the contradiction check. Re-test and update this note."
Expired refusal,any,en,What equipment allowance is available for remote workers?,"Refuses, does not state expired terms as current, points to Raghida Nasser (Head of IT Operations).",,
Expired refusal,any,en,"Can I claim AED 2,000 for a monitor and chair for working from home?",Same refusal as above.,,
Out-of-scope refusal,any,en,What is the company's parking policy for employees?,"Honest refusal, logged for follow-up.",,
Out-of-scope refusal,any,en,How many public holidays does the UAE observe each year?,"Honest refusal, logged for follow-up.",,
Out-of-scope refusal,any,en,What is the process for requesting a company car?,Should refuse cleanly.,,KNOWN NEAR-MISS as of last test: retrieved POL-KYC-002 (corporate onboarding) as a false-positive match instead of refusing cleanly. Re-test and update this note.
Out-of-scope refusal,any,en,What's the weather like today?,"Honest refusal, logged for follow-up.",,
Confidentiality,standard_user,en,What is the large cash transaction reporting threshold under AML requirements?,"Refuses (out-of-scope) - does NOT substitute a different, wrong document.",,POL-CASH-004 is confidential.
Confidentiality,cleared_user,en,What is the large cash transaction reporting threshold under AML requirements?,"Answers AED 55,000, cites POL-CASH-004 with a visible Confidential tag.",,
